Name;ISIN CODE;INDUSTRY GROUP;YR_2019;YR_2020;YR_2021;YR_2022;YR_2023
BOSSARD HOLDING AG ;CH0238627142;8591;19.02.2020;03.03.2021;02.03.2022;12.01.2023;11.01.2024
VAT GROUP ;CH0311864901;4992;03.03.2020;14.01.2021;12.01.2022;12.01.2023;11.01.2024
DOCMORRIS AG ;CH0042615283;7040;19.03.2020;21.01.2021;20.01.2022;19.01.2023;16.01.2024
GEBERIT AG ;CH0030170408;2891;21.01.2020;10.03.2021;14.01.2022;19.01.2023;17.01.2024
GALENICA AG ;CH0360674466;3410;21.01.2020;09.03.2021;08.03.2022;06.03.2023;18.01.2024
BB BIOTECH AG ;CH0038389992;4350;17.01.2020;22.01.2021;18.02.2022;17.02.2023;19.01.2024
ZEHNDER GROUP AG ;CH0276534614;5570;26.02.2020;24.02.2021;14.01.2022;23.01.2023;19.01.2024
THE SWATCH GROUP ;CH0012255144;8592;06.02.2020;08.02.2021;17.02.2022;06.02.2023;22.01.2024
THE SWATCH GROUP ;CH0012255151;8592;06.02.2020;08.02.2021;17.02.2022;06.02.2023;22.01.2024
BELIMO HOLDINGS AG ;CH1101098163;3750;09.03.2020;08.03.2021;20.01.2022;19.01.2023;22.01.2024
KOMAX HOLDING AG ;CH0010702154;4970;28.01.2020;26.01.2021;25.01.2022;24.01.2023;23.01.2024
AUTONEUM HOLD ;CH0127480363;1910;04.03.2020;03.03.2021;02.03.2022;01.03.2023;23.01.2024
MIKRON HOLDING AG ;CH0003390066;4970;16.03.2020;10.03.2021;11.03.2022;10.03.2023;24.01.2024
RIETER HOLDING AG ;CH0003671440;4970;15.04.2020;09.03.2021;09.03.2022;25.01.2023;24.01.2024
SCHLATTER HOLDING AG ;CH0002277314;4970;17.03.2020;23.02.2021;31.03.2022;26.01.2023;25.01.2024
GIVAUDAN SA ;CH0010645932;2580;24.01.2020;29.01.2021;28.01.2022;25.01.2023;25.01.2024
EMMI AG ;CH0012829898;4640;02.03.2020;02.03.2021;04.03.2022;06.02.2023;25.01.2024
LONZA GROUP AG ;CH0013841017;2580;21.01.2020;27.01.2021;26.01.2022;25.01.2023;26.01.2024
SGS SA ;CH1256740924;8580;28.01.2020;28.01.2021;27.01.2022;26.01.2023;26.01.2024
PIERER MOBILITY AG ;AT0000KTMI02;8580;20.02.2020;01.02.2021;29.03.2022;28.03.2023;29.01.2024
INTERROLL HOLDING AG ;CH0006372897;4992;19.02.2020;19.03.2021;22.02.2022;30.01.2023;29.01.2024
BUCHER INDUSTRIES AG ;CH0002432174;4910;04.03.2020;28.01.2021;27.01.2022;26.01.2023;30.01.2024
NOVARTIS ;CH0012005267;3410;29.01.2020;26.01.2021;02.02.2022;01.02.2023;31.01.2024
VALIANT HOLDING ;CH0014786500;4320;13.02.2020;11.02.2021;17.02.2022;01.02.2023;31.01.2024
GURIT HOLDING AG ;CH1173567111;2510;19.02.2020;02.03.2021;04.03.2022;02.03.2023;31.01.2024
BERNER KANTO ;CH0009691608;4310;30.01.2020;29.01.2021;03.02.2022;02.02.2023;01.02.2024
ROCHE HOLDING AG ;CH0012032048;3430;30.01.2020;04.02.2021;03.02.2022;02.02.2023;01.02.2024
ROCHE HOLDING AG ;CH0012032113;3430;30.01.2020;04.02.2021;03.02.2022;02.02.2023;01.02.2024
ABB LTD ;CH0012221716;4970;05.02.2020;04.02.2021;03.02.2022;02.02.2023;01.02.2024
JULIUS BAER ;CH0102484968;4310;03.02.2020;01.02.2021;02.02.2022;02.02.2023;01.02.2024
COMET HOLDING AG ;CH0360826991;3730;19.03.2020;27.01.2021;20.01.2022;02.03.2023;01.02.2024
LUZERNER KANTONAL ;CH1252930610;4320;19.02.2020;02.02.2021;03.02.2022;07.02.2023;01.02.2024
MEDACTA GROUP SA ;CH0468525222;3440;21.01.2020;21.01.2021;20.01.2022;03.02.2023;02.02.2024
ZUGER KANTONALBANK ;CH0493891243;4320;27.01.2020;28.01.2021;21.01.2022;06.02.2023;05.02.2024
UBS GROUP AG ;CH0244767585;4395;21.01.2020;26.01.2021;01.02.2022;31.01.2023;06.02.2024
DAETWYLER HOLDING AG ;CH0030486770;3110;06.02.2020;09.02.2021;18.02.2022;09.02.2023;07.02.2024
BELL FOOD GROUP AG ;CH0315966322;4670;17.02.2020;12.02.2021;11.02.2022;10.02.2023;07.02.2024
SWISS PRIME SITE ;CH0008038389;4392;27.02.2020;25.02.2021;17.02.2022;09.02.2023;08.02.2024
VONTOBEL HOLDING AG ;CH0012335540;4394;12.02.2020;11.02.2021;09.02.2022;08.02.2023;08.02.2024
CIE FINANC TRADITION ;CH0014345117;4394;13.03.2020;28.04.2021;29.04.2022;27.04.2023;08.02.2024
LEONTEQ AG ;CH0190891181;4394;13.02.2020;11.02.2021;10.02.2022;09.02.2023;08.02.2024
BANQUE CANT VAUDOISE ;CH0531751755;4310;27.02.2020;18.02.2021;17.02.2022;10.02.2023;08.02.2024
AM - SRAM AG ;AT0000A3EPA4;4060;11.02.2020;09.02.2021;08.02.2022;07.02.2023;09.02.2024
GRAUBUENDNER KBK ;CH0001340204;4320;06.04.2020;04.02.2021;04.02.2022;10.02.2023;09.02.2024
SWISSCOM ;CH0008742519;8210;06.02.2020;04.02.2021;03.02.2022;09.02.2023;09.02.2024
MOBIMO HOLDING AG ;CH0011108872;4392;07.02.2020;05.02.2021;11.02.2022;10.02.2023;09.02.2024
EM - HEMIE HOLDING ;CH0016440353;2530;07.02.2020;12.02.2021;11.02.2022;10.02.2023;09.02.2024
BASILEA PHARMACEUTIC ;CH0011432447;3430;18.02.2020;16.02.2021;15.02.2022;14.02.2023;13.02.2024
ST GALLER KANT ;CH0011484067;4310;12.02.2020;18.02.2021;16.02.2022;15.02.2023;14.02.2024
SCHINDLER HOLDING AG ;CH0024638196;4970;14.02.2020;17.02.2021;16.02.2022;22.02.2023;14.02.2024
SCHINDLER HOLDING AG ;CH0024638212;4970;14.02.2020;17.02.2021;16.02.2022;22.02.2023;14.02.2024
HYPOTHERBK LENZBURG ;CH0001341608;4310;19.02.2020;18.02.2021;16.02.2022;13.02.2023;15.02.2024
THURGAUER KANTONAL ;CH0231351104;4310;18.02.2020;19.02.2021;15.04.2022;16.02.2023;15.02.2024
SOFTWAREONE HOLD ;CH0496451508;4030;31.03.2020;25.03.2021;03.03.2022;02.03.2023;15.02.2024
PHOENIX MECANO AG ;CH1261338102;5510;19.02.2020;18.02.2021;03.05.2022;20.04.2023;15.02.2024
DKSH HOLDING AG ;CH0126673539;8580;10.02.2020;09.02.2021;09.02.2022;09.02.2023;16.02.2024
SWISS RE ;CH0126881561;4370;20.02.2020;19.02.2021;25.02.2022;17.02.2023;16.02.2024
SIKA AG ;CH0418792922;2893;21.02.2020;19.02.2021;18.02.2022;17.02.2023;16.02.2024
TEMENOS AG ;CH0012453913;8592;12.02.2020;17.02.2021;14.02.2022;20.02.2023;19.02.2024
OC OERLIKON CORP ;CH0000816824;3110;03.03.2020;02.03.2021;01.03.2022;21.02.2023;20.02.2024
CPH GROUP AG ;CH0001624714;6120;26.02.2020;02.05.2021;16.02.2022;21.02.2023;20.02.2024
SIEGFRIED HOLDING AG ;CH0014284498;2580;04.03.2020;24.02.2021;23.02.2022;22.02.2023;20.02.2024
ALSO HOLDING AG ;CH0024590272;8591;26.02.2020;23.02.2021;22.02.2022;21.02.2023;20.02.2024
EFG INTERNATIONAL ;CH0022268228;4310;26.02.2020;05.03.2021;23.02.2022;22.02.2023;21.02.2024
ZUG ESTATES ;CH0148052126;4392;06.03.2020;05.03.2021;04.03.2022;24.02.2023;21.02.2024
NOVAVEST REAL ;CH0212186248;4380;18.03.2020;23.02.2021;15.04.2022;22.02.2023;21.02.2024
FEINTOOL INT HOLDING ;CH0009320091;4970;03.03.2020;02.03.2021;01.03.2022;01.03.2023;22.02.2024
ZURICH INSURANCE ;CH0011075394;4370;13.02.2020;11.02.2021;10.02.2022;09.02.2023;22.02.2024
KUDELSKI SA ;CH0012268360;4090;27.02.2020;25.02.2021;23.02.2022;23.02.2023;22.02.2024
SULZER AG ;CH0038388911;4910;19.02.2020;24.02.2021;18.02.2022;20.02.2023;22.02.2024
NESTLE SA ;CH0038863350;4610;13.02.2020;18.02.2021;17.02.2022;16.02.2023;22.02.2024
CEMBRA MONEY BANK AG ;CH0225173167;4320;21.02.2020;19.02.2021;16.02.2022;23.02.2023;22.02.2024
CALIDA HOLDING AG ;CH0126639464;1610;06.03.2020;05.03.2021;04.03.2022;03.03.2023;23.02.2024
LIECHTENSTEIN LANDBK ;LI0355147575;4310;12.03.2020;11.03.2021;25.03.2022;27.02.2023;26.02.2024
PSP SWISS PROPERTY ;CH0018294154;4380;25.02.2020;23.02.2021;22.02.2022;21.02.2023;27.02.2024
APG SGA SA ;CH0019107025;8510;27.02.2020;15.03.2021;26.04.2022;15.03.2023;27.02.2024
BELLEVUE GROUP AG ;CH0028422100;4395;28.01.2020;02.03.2021;01.03.2022;28.02.2023;27.02.2024
ARBONIA AG ;CH0110240600;3110;25.02.2020;02.03.2021;01.03.2022;28.02.2023;27.02.2024
IVF HARTMANN HLDG ;CH0187624256;3440;11.03.2020;07.04.2021;09.03.2022;09.03.2023;27.02.2024
ALCON AG ;CH0432492467;3440;25.02.2020;23.02.2021;15.02.2022;27.02.2023;27.02.2024
SIG GROUP AG ;CH0435377954;4910;25.02.2020;23.02.2021;01.03.2022;28.02.2023;27.02.2024
STRAUMANN HOLDING AG ;CH1175448666;3440;18.02.2020;16.02.2021;15.02.2022;21.02.2023;27.02.2024
INTERSHOP HOLDING AG ;CH1338987303;4380;05.03.2020;02.03.2021;01.03.2022;28.02.2023;27.02.2024
ALLREAL HOLDING AG ;CH0008837566;2810;26.02.2020;24.02.2021;08.03.2022;01.03.2023;28.02.2024
HOLCI ;CH0012214059;2840;27.02.2020;26.02.2021;25.02.2022;24.02.2023;28.02.2024
IMPLENIA AG ;CH0023868554;2893;25.02.2020;03.03.2021;01.03.2022;01.03.2023;28.02.2024
CURATIS HOLDING AG ;CH1330780979;4970;28.05.2020;31.03.2021;31.03.2022;31.05.2023;28.02.2024
ADECCO GROUP ;CH0012138605;8580;26.02.2020;25.02.2021;24.02.2022;28.02.2023;29.02.2024
CLARIANT AG ;CH0012142631;2530;13.02.2020;11.02.2021;14.02.2022;02.03.2023;29.02.2024
MEIER T ;CH0208062627;3110;25.02.2020;04.03.2021;15.04.2022;15.02.2023;29.02.2024
BYSTRONIC ;CH0244017502;4992;17.03.2020;03.02.2021;04.02.2022;03.02.2023;29.02.2024
VZ HOLDING AG ;CH0528751586;4350;28.02.2020;05.03.2021;03.03.2022;02.03.2023;29.02.2024
KUEHNE UND NAG ;CH0025238863;7970;27.02.2020;03.03.2021;02.03.2022;01.03.2023;01.03.2024
SCHWEIZERISCHE ;CH0001319265;4320;19.03.2020;22.03.2021;07.03.2022;06.03.2023;04.03.2024
HIAG IMMOBILIEN ;CH0239518779;4380;16.03.2020;15.03.2021;14.03.2022;13.03.2023;04.03.2024
FORBO HOLDING AG ;CH0003541510;7330;03.03.2020;04.03.2021;03.03.2022;17.01.2023;05.03.2024
CHOCO LINDT & SPRUEN ;CH0010570759;4640;03.03.2020;02.03.2021;08.03.2022;07.03.2023;05.03.2024
CHOCO LINDT & SPRUEN ;CH0010570767;4640;03.03.2020;02.03.2021;08.03.2022;07.03.2023;05.03.2024
INFICON HOLDING AG ;CH0011029946;4960;05.03.2020;04.03.2021;03.03.2022;13.01.2023;05.03.2024
ASCOM HOLDING AG ;CH0011339204;4010;06.03.2020;11.03.2021;08.03.2022;07.03.2023;05.03.2024
HUBER+SUHNER AG ;CH0030380734;5560;15.04.2020;19.03.2021;08.03.2022;07.03.2023;05.03.2024
BANQUE CANTON GENEVE ;CH0350494719;4310;25.02.2020;24.02.2021;22.02.2022;29.03.2023;05.03.2024
CICOR TECHNOLOGIES ;CH0008702190;4060;12.03.2020;11.03.2021;10.03.2022;02.03.2023;06.03.2024
LOX HOLDING AG ;CH0033361673;8592;15.04.2020;12.03.2021;10.03.2022;10.03.2023;06.03.2024
PLAZZA AG ;CH0284142913;4380;20.03.2020;03.03.2021;09.03.2022;08.03.2023;06.03.2024
AVOLTA AG ;CH0023405456;7091;12.03.2020;09.03.2021;08.03.2022;07.03.2023;07.03.2024
KARDEX HOLDING ;CH0100837282;8520;05.03.2020;04.03.2021;03.03.2022;02.03.2023;07.03.2024
SFS GROUP AG ;CH0239229302;1910;06.03.2020;05.03.2021;04.03.2022;03.03.2023;07.03.2024
BACHEM HOLDING ;CH1176493729;3440;15.04.2020;12.03.2021;18.03.2022;07.03.2023;07.03.2024
SCHWEITER TECH AG ;CH1248667003;4970;10.03.2020;05.03.2021;04.03.2022;06.03.2023;07.03.2024
ORELL FUESSLI HOLD ;CH0003420806;6450;16.03.2020;17.03.2021;30.03.2022;10.03.2023;08.03.2024
BVZ HOLDING AG ;CH0008207356;7930;17.03.2020;17.03.2021;16.03.2022;16.03.2023;08.03.2024
COLTENE HOLDING ;CH0025343259;3440;05.03.2020;28.01.2021;28.01.2022;03.03.2023;08.03.2024
MOBILEZONE HOLDING ;CH0276837694;4992;13.03.2020;09.04.2021;11.03.2022;10.03.2023;08.03.2024
FLUGHAFEN ZURICH AG ;CH0319416936;8580;10.03.2020;12.03.2021;08.03.2022;14.03.2023;08.03.2024
METALL ZUG AG ;CH0039821084;3720;19.03.2020;18.03.2021;15.03.2022;13.03.2023;11.03.2024
TECAN GROUP AG ;CH0012100191;8570;17.03.2020;16.03.2021;15.03.2022;14.03.2023;12.03.2024
BKW AG ;CH0130293662;8220;18.03.2020;16.03.2021;15.03.2022;14.03.2023;12.03.2024
MEDARTIS HOLDING AG ;CH0386200239;3440;03.03.2020;10.03.2021;07.03.2022;14.03.2023;12.03.2024
SENSIRION HOLDING AG ;CH0406705126;4050;10.03.2020;16.03.2021;14.03.2022;14.03.2023;12.03.2024
VP BANK AG ;LI0315487269;4310;10.03.2020;09.03.2021;08.03.2022;21.04.2023;12.03.2024
BASELLAND KANTONALBK ;CH0001473559;4320;20.03.2020;25.03.2021;15.04.2022;15.03.2023;13.03.2024
STADLER RAIL AG ;CH0002178181;8592;13.04.2020;11.03.2021;15.03.2022;15.03.2023;13.03.2024
ORIOR AG ;CH0111677362;6760;04.03.2020;10.03.2021;02.03.2022;08.03.2023;13.03.2024
KUROS BIOSCIENCE ;CH0325814116;3410;26.03.2020;18.03.2021;16.03.2022;15.03.2023;13.03.2024
UG HOLDING AG ;CH0542483745;3720;17.06.2020;19.03.2021;15.03.2022;15.03.2023;13.03.2024
SWISSQUOTE GROUP ;CH0010675863;4350;17.03.2020;18.03.2021;17.03.2022;16.03.2023;14.03.2024
TX GROUP ;CH0011178255;6430;19.03.2020;11.03.2021;10.03.2022;09.03.2023;14.03.2024
SWISS LIFE HOLDING ;CH0014852781;4370;28.02.2020;02.03.2021;01.03.2022;01.03.2023;14.03.2024
SF URBAN PROP ;CH0032816131;4380;02.06.2020;08.03.2021;13.04.2022;13.04.2023;14.03.2024
FUNDAMENTA REAL ;CH0045825517;4392;13.03.2020;12.03.2021;15.04.2022;15.03.2023;14.03.2024
ASMALLWORLD AG ;CH0404880129;8580;19.03.2020;18.03.2021;16.03.2022;16.03.2023;14.03.2024
MEYER BURGER TECH ;CH1357065999;4030;12.03.2020;11.03.2021;24.03.2022;23.03.2023;14.03.2024
MOLECULAR PARTNERS ;CH0256379097;3440;20.03.2020;05.02.2021;15.03.2022;09.03.2023;15.03.2024
GROUPE MINOTERIES SA ;CH0012949464;4660;21.04.2020;18.05.2021;17.03.2022;17.03.2023;18.03.2024
PARTNERS GR ;CH0024608827;4350;17.03.2020;16.03.2021;22.03.2022;21.03.2023;19.03.2024
VETROPACK AG ;CH0530235594;8530;17.03.2020;16.03.2021;15.03.2022;14.03.2023;19.03.2024
GEORG FISCHER AG ;CH1169151003;4910;26.02.2020;03.03.2021;02.03.2022;02.03.2023;19.03.2024
NEWRON PHARMA ;IT0004147952;3430;05.03.2020;16.03.2021;16.03.2022;14.03.2023;19.03.2024
WARTECK INVEST AG ;CH0002619481;4380;20.03.2020;23.03.2021;21.03.2022;20.03.2023;20.03.2024
COSMO PHARMA ;NL0011832936;3430;08.04.2020;26.03.2021;31.03.2022;23.03.2023;20.03.2024
HOCN LTD ;CH0024666528;4690;19.03.2020;17.05.2021;18.04.2022;18.04.2023;21.03.2024
PEACH PROPERTY ;CH0118530366;2810;19.02.2020;29.03.2021;29.03.2022;21.03.2023;21.03.2024
BANQUE CANTONALE ;CH0305951201;4310;13.03.2020;06.05.2021;06.04.2022;05.04.2023;21.03.2024
AEVIS VICTORIA ;CH0478634105;8592;28.02.2020;02.03.2021;30.03.2022;09.03.2023;21.03.2024
BASLER KANTONALBANK ;CH0009236461;4320;16.04.2020;28.05.2021;29.06.2022;30.03.2023;22.03.2024
EVOLVA HOLDING LTD ;CH1262055788;3430;18.03.2020;25.02.2021;10.03.2022;09.03.2023;22.03.2024
BALOISE HOLDING AG ;CH0012410517;4370;12.03.2020;09.03.2021;10.03.2022;09.03.2023;26.03.2024
WAADT VERSICHERUNGEN ;CH0021545667;4370;25.03.2020;31.03.2021;30.03.2022;29.03.2023;26.03.2024
ORASCOM DEVELOPMENT ;CH0038285679;3110;27.04.2020;31.03.2021;30.03.2022;29.03.2023;26.03.2024
GAM HOLDING AG ;CH0102659627;4350;20.02.2020;18.02.2021;17.02.2022;04.05.2023;27.03.2024
INVESTIS HOLDING SA ;CH0325094297;4392;01.04.2020;24.03.2021;24.03.2022;23.03.2023;27.03.2024
SKAN GROUP AG ;CH0013396012;3440;13.02.2020;05.02.2021;05.04.2022;28.03.2023;28.03.2024
EDISUN POWER ;CH0024736404;8220;08.04.2020;29.03.2021;25.03.2022;24.03.2023;28.03.2024
VARIA US PROP ;CH0305285295;8592;07.04.2020;29.03.2021;29.03.2022;30.03.2023;28.03.2024
MCH GROUP AG ;CH0039542854;8510;27.03.2020;25.03.2021;29.03.2022;29.03.2023;29.03.2024
ZWAHLEN ET MAYR SA ;CH0002661731;2830;02.04.2020;08.04.2021;08.04.2022;30.03.2023;02.04.2024
ADVAL TECH HOLDING A ;CH0008967926;4970;27.03.2020;27.04.2021;27.04.2022;03.04.2023;02.04.2024
GLARNER KANT ;CH0189396655;4310;20.02.2020;09.02.2021;10.02.2022;31.03.2023;03.04.2024
LASTMINUTE.COM NV ;NL0010733960;8592;14.02.2020;10.02.2021;10.02.2022;09.02.2023;04.04.2024
BURKHALTER ;CH0212255803;4090;06.04.2020;12.04.2021;31.03.2022;03.04.2023;08.04.2024
JUNGFRAUBAHN ;CH0017875789;7970;26.03.2020;09.04.2021;11.04.2022;05.04.2023;11.04.2024
HELVETIA HOLDING ;CH0466642201;4370;04.03.2020;25.03.2021;24.03.2022;06.03.2023;11.04.2024
STARRAG GROUP HOLD ;CH0002361068;4980;06.03.2020;05.03.2021;04.03.2022;13.04.2023;15.04.2024
VILLARS HOLDING SA ;CH0002609656;7091;09.01.2020;30.06.2021;11.05.2022;18.04.2023;16.04.2024
ADDEX THERAPEUTICS ;CH0029850754;3430;08.04.2020;11.03.2021;10.03.2022;30.03.2023;18.04.2024
SHL TELEMEDICINE ;IL0010855885;8550;30.04.2020;20.04.2021;14.04.2022;15.05.2023;18.04.2024
XLIFE SCIENCES AG ;CH0461929603;8550;10.06.2020;26.04.2021;29.04.2022;20.04.2023;23.04.2024
ROMANDE ENERGIE ;CH1263676327;8220;06.04.2020;22.04.2021;11.04.2022;05.04.2023;23.04.2024
HIGHLIGHT EVENT AND ;CH0003583256;6780;20.04.2020;12.05.2021;10.06.2022;28.04.2023;24.04.2024
SANTHERA PHARMA ;CH1276028821;3430;24.03.2020;16.02.2021;11.03.2022;27.04.2023;25.04.2024
RELIEF THERAPEUT ;CH1251125998;8550;30.04.2020;15.04.2021;31.03.2022;14.04.2023;29.04.2024
WISEKEY INTERN ;CH1276062754;8592;10.03.2020;30.04.2021;31.01.2022;21.04.2023;15.05.2024
IDORSIA LTD ;CH0363463438;3410;06.02.2020;04.02.2021;07.02.2022;07.02.2023;21.05.2024
SPEXIS AG ;CH0106213793;3440;28.04.2020;05.03.2021;18.04.2022;29.05.2023;31.05.2024
BANQUE CANTONALE ;CH0350665672;4320;03.04.2020;06.04.2021;22.04.2022;06.06.2023;05.06.2024
CI COM SA ;CH0001625810;4380;01.05.2020;07.05.2021;29.04.2022;27.04.2023;20.06.2024
AIRESIS SA ;CH0010947627;6770;29.04.2020;22.04.2021;27.04.2022;27.04.2023;28.06.2024
