RBICS_Code_A,RBICS_Code_B,Direction,Relationship,Derivation
1610,1610,Bi,same_industry_proxy,Derived from RBICS_PrimaryCode present in Result_CAPMfit_abnormalreturns.csv
1910,1910,Bi,same_industry_proxy,Derived from RBICS_PrimaryCode present in Result_CAPMfit_abnormalreturns.csv
2510,2510,Bi,same_industry_proxy,Derived from RBICS_PrimaryCode present in Result_CAPMfit_abnormalreturns.csv
2530,2530,Bi,same_industry_proxy,Derived from RBICS_PrimaryCode present in Result_CAPMfit_abnormalreturns.csv
2580,2580,Bi,same_industry_proxy,Derived from RBICS_PrimaryCode present in Result_CAPMfit_abnormalreturns.csv
2810,2810,Bi,same_industry_proxy,Derived from RBICS_PrimaryCode present in Result_CAPMfit_abnormalreturns.csv
2840,2840,Bi,same_industry_proxy,Derived from RBICS_PrimaryCode present in Result_CAPMfit_abnormalreturns.csv
2891,2891,Bi,same_industry_proxy,Derived from RBICS_PrimaryCode present in Result_CAPMfit_abnormalreturns.csv
2893,2893,Bi,same_industry_proxy,Derived from RBICS_PrimaryCode present in Result_CAPMfit_abnormalreturns.csv
3110,3110,Bi,same_industry_proxy,Derived from RBICS_PrimaryCode present in Result_CAPMfit_abnormalreturns.csv
3410,3410,Bi,same_industry_proxy,Derived from RBICS_PrimaryCode present in Result_CAPMfit_abnormalreturns.csv
3430,3430,Bi,same_industry_proxy,Derived from RBICS_PrimaryCode present in Result_CAPMfit_abnormalreturns.csv
3440,3440,Bi,same_industry_proxy,Derived from RBICS_PrimaryCode present in Result_CAPMfit_abnormalreturns.csv
3720,3720,Bi,same_industry_proxy,Derived from RBICS_PrimaryCode present in Result_CAPMfit_abnormalreturns.csv
3730,3730,Bi,same_industry_proxy,Derived from RBICS_PrimaryCode present in Result_CAPMfit_abnormalreturns.csv
3750,3750,Bi,same_industry_proxy,Derived from RBICS_PrimaryCode present in Result_CAPMfit_abnormalreturns.csv
4010,4010,Bi,same_industry_proxy,Derived from RBICS_PrimaryCode present in Result_CAPMfit_abnormalreturns.csv
4030,4030,Bi,same_industry_proxy,Derived from RBICS_PrimaryCode present in Result_CAPMfit_abnormalreturns.csv
4050,4050,Bi,same_industry_proxy,Derived from RBICS_PrimaryCode present in Result_CAPMfit_abnormalreturns.csv
4060,4060,Bi,same_industry_proxy,Derived from RBICS_PrimaryCode present in Result_CAPMfit_abnormalreturns.csv
4090,4090,Bi,same_industry_proxy,Derived from RBICS_PrimaryCode present in Result_CAPMfit_abnormalreturns.csv
4310,4310,Bi,same_industry_proxy,Derived from RBICS_PrimaryCode present in Result_CAPMfit_abnormalreturns.csv
4320,4320,Bi,same_industry_proxy,Derived from RBICS_PrimaryCode present in Result_CAPMfit_abnormalreturns.csv
4350,4350,Bi,same_industry_proxy,Derived from RBICS_PrimaryCode present in Result_CAPMfit_abnormalreturns.csv
4370,4370,Bi,same_industry_proxy,Derived from RBICS_PrimaryCode present in Result_CAPMfit_abnormalreturns.csv
4380,4380,Bi,same_industry_proxy,Derived from RBICS_PrimaryCode present in Result_CAPMfit_abnormalreturns.csv
4392,4392,Bi,same_industry_proxy,Derived from RBICS_PrimaryCode present in Result_CAPMfit_abnormalreturns.csv
4394,4394,Bi,same_industry_proxy,Derived from RBICS_PrimaryCode present in Result_CAPMfit_abnormalreturns.csv
4395,4395,Bi,same_industry_proxy,Derived from RBICS_PrimaryCode present in Result_CAPMfit_abnormalreturns.csv
4610,4610,Bi,same_industry_proxy,Derived from RBICS_PrimaryCode present in Result_CAPMfit_abnormalreturns.csv
4640,4640,Bi,same_industry_proxy,Derived from RBICS_PrimaryCode present in Result_CAPMfit_abnormalreturns.csv
4660,4660,Bi,same_industry_proxy,Derived from RBICS_PrimaryCode present in Result_CAPMfit_abnormalreturns.csv
4670,4670,Bi,same_industry_proxy,Derived from RBICS_PrimaryCode present in Result_CAPMfit_abnormalreturns.csv
4910,4910,Bi,same_industry_proxy,Derived from RBICS_PrimaryCode present in Result_CAPMfit_abnormalreturns.csv
4960,4960,Bi,same_industry_proxy,Derived from RBICS_PrimaryCode present in Result_CAPMfit_abnormalreturns.csv
4970,4970,Bi,same_industry_proxy,Derived from RBICS_PrimaryCode present in Result_CAPMfit_abnormalreturns.csv
4980,4980,Bi,same_industry_proxy,Derived from RBICS_PrimaryCode present in Result_CAPMfit_abnormalreturns.csv
4992,4992,Bi,same_industry_proxy,Derived from RBICS_PrimaryCode present in Result_CAPMfit_abnormalreturns.csv
5510,5510,Bi,same_industry_proxy,Derived from RBICS_PrimaryCode present in Result_CAPMfit_abnormalreturns.csv
5560,5560,Bi,same_industry_proxy,Derived from RBICS_PrimaryCode present in Result_CAPMfit_abnormalreturns.csv
5570,5570,Bi,same_industry_proxy,Derived from RBICS_PrimaryCode present in Result_CAPMfit_abnormalreturns.csv
6120,6120,Bi,same_industry_proxy,Derived from RBICS_PrimaryCode present in Result_CAPMfit_abnormalreturns.csv
6430,6430,Bi,same_industry_proxy,Derived from RBICS_PrimaryCode present in Result_CAPMfit_abnormalreturns.csv
6450,6450,Bi,same_industry_proxy,Derived from RBICS_PrimaryCode present in Result_CAPMfit_abnormalreturns.csv
6760,6760,Bi,same_industry_proxy,Derived from RBICS_PrimaryCode present in Result_CAPMfit_abnormalreturns.csv
7040,7040,Bi,same_industry_proxy,Derived from RBICS_PrimaryCode present in Result_CAPMfit_abnormalreturns.csv
7091,7091,Bi,same_industry_proxy,Derived from RBICS_PrimaryCode present in Result_CAPMfit_abnormalreturns.csv
7330,7330,Bi,same_industry_proxy,Derived from RBICS_PrimaryCode present in Result_CAPMfit_abnormalreturns.csv
7970,7970,Bi,same_industry_proxy,Derived from RBICS_PrimaryCode present in Result_CAPMfit_abnormalreturns.csv
8210,8210,Bi,same_industry_proxy,Derived from RBICS_PrimaryCode present in Result_CAPMfit_abnormalreturns.csv
8220,8220,Bi,same_industry_proxy,Derived from RBICS_PrimaryCode present in Result_CAPMfit_abnormalreturns.csv
8510,8510,Bi,same_industry_proxy,Derived from RBICS_PrimaryCode present in Result_CAPMfit_abnormalreturns.csv
8520,8520,Bi,same_industry_proxy,Derived from RBICS_PrimaryCode present in Result_CAPMfit_abnormalreturns.csv
8530,8530,Bi,same_industry_proxy,Derived from RBICS_PrimaryCode present in Result_CAPMfit_abnormalreturns.csv
8550,8550,Bi,same_industry_proxy,Derived from RBICS_PrimaryCode present in Result_CAPMfit_abnormalreturns.csv
8570,8570,Bi,same_industry_proxy,Derived from RBICS_PrimaryCode present in Result_CAPMfit_abnormalreturns.csv
8580,8580,Bi,same_industry_proxy,Derived from RBICS_PrimaryCode present in Result_CAPMfit_abnormalreturns.csv
8591,8591,Bi,same_industry_proxy,Derived from RBICS_PrimaryCode present in Result_CAPMfit_abnormalreturns.csv
8592,8592,Bi,same_industry_proxy,Derived from RBICS_PrimaryCode present in Result_CAPMfit_abnormalreturns.csv
